"shortName","lineCode","direction","lineDestinationMarker","lineOriginMarker","vehiclesQuantityLocalized","vs/0/prefix","vs/0/accessible","vs/0/localizedAt","vs/0/latitude","vs/0/longitude","vs/1/prefix","vs/1/accessible","vs/1/localizedAt","vs/1/latitude","vs/1/longitude","vs/2/prefix","vs/2/accessible","vs/2/localizedAt","vs/2/latitude","vs/2/longitude","vs/3/prefix","vs/3/accessible","vs/3/locatlizedAt","vs/3/latitude","vs/3/longitude","vs/4/prefix","vs/4/accessible","vs/4/localizedAt","vs/4/latitude","vs/4/longitude","vs/5/prefix","vs/5/accessible","vs/5/localizedAt","vs/5/latitude","vs/5/longitude"
"8007-10",34025,2,"TERM. PIRITUBA","HAB. TURÍSTICA",1,11315,"true","2019-09-25T17:54:23Z",-23.4983616666667,-46.7452616666667,,,,,,,,,,,,,,,,,,,,,,,,,
"8055-10",33182,2,"LAPA","PERUS",4,11020,"true","2019-09-25T17:54:18Z",-23.5131116666667,-46.7390366666667,11356,"true","2019-09-25T17:45:40Z",-23.5132766666667,-46.7395083333333,11293,"true","2019-09-25T17:45:55Z",-23.5128983333333,-46.7387816666667,11638,"true","2019-09-25T17:45:35Z",-23.5125066666667,-46.7394833333333,,,,,,,,,,
"8047-10",33176,2,"LAPA","JARAGUÁ",2,11284,"true","2019-09-25T17:54:08Z",-23.5126633333333,-46.7396483333333,11247,"true","2019-09-25T17:45:46Z",-23.512125,-46.7399133333333,,,,,,,,,,,,,,,,,,,,
"8300-10",34032,2,"TERM. LAPA","TERM. PIRITUBA",1,11897,"true","2019-09-25T17:54:16Z",-23.4985283333333,-46.7457883333333,,,,,,,,,,,,,,,,,,,,,,,,,
"8215-10",574,1,"PÇA. DO CORREIO","JD. PAULISTANO",1,11366,"true","2019-09-25T17:54:12Z",-23.5132683333333,-46.7390733333333,,,,,,,,,,,,,,,,,,,,,,,,,
"8000-10",1273,1,"PÇA. RAMOS DE AZEVEDO","TERM. LAPA",3,11374,"true","2019-09-25T17:45:53Z",-23.5133666666667,-46.739135,11378,"true","2019-09-25T17:54:00Z",-23.5132333333333,-46.740275,11377,"true","2019-09-25T17:54:08Z",-23.51332,-46.7394566666667,,,,,,,,,,,,,,,
"8055-51",33185,2,"METRÔ BARRA FUNDA","PERUS",2,11780,"true","2019-09-25T17:53:59Z",-23.5125816666667,-46.7415466666667,11773,"true","2019-09-25T17:54:21Z",-23.5127166666667,-46.74022,,,,,,,,,,,,,,,,,,,,
"8050-10",412,1,"LAPA","PQ. MORRO DOCE",1,11039,"true","2019-09-25T17:54:22Z",-23.5121183333333,-46.74114,,,,,,,,,,,,,,,,,,,,,,,,,
"8600-10",1432,1,"LGO. DO PAISSANDÚ","TERM. PIRITUBA",3,11348,"true","2019-09-25T17:45:41Z",-23.5121283333333,-46.7402033333333,11337,"true","2019-09-25T17:54:33Z",-23.5125816666667,-46.7414466666667,11059,"true","2019-09-25T17:54:33Z",-23.5129966666667,-46.7401066666667,,,,,,,,,,,,,,,
"8000-10",34041,2,"PÇA. RAMOS DE AZEVEDO","TERM. LAPA",1,11276,"true","2019-09-25T17:54:18Z",-23.51217,-46.74081,,,,,,,,,,,,,,,,,,,,,,,,,
